study	individual	group	count	interventions	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Fukudo2014	NA	RCC_200	16.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	RCC_200	7.07423580786026	day	NA	463.157894736842	370.469798657718	92.688096079124	NA	ug/mL	400mg/day
Fukudo2014	NA	RCC_200	16.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	RCC_200	14.1484716157205	day	NA	509.473684210526	406.711409395973	102.762274814553	NA	ug/mL	mg/day
Fukudo2014	NA	RCC_200	16.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	RCC_200	21.2227074235808	day	NA	640.0	446.979865771812	193.020134228188	NA	ug/mL	mg/day
Fukudo2014	NA	RCC_200	16.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	RCC_200	31.4410480349345	day	NA	576.842105263158	370.469798657718	206.37230660544	NA	ug/mL	mg/day
Fukudo2014	NA	RCC_200	16.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	RCC_200	61.3100436681223	day	NA	484.210526315789	330.201342281879	154.00918403391	NA	ug/mL	mg/day
Fukudo2014	NA	RCC_200	16.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	RCC_200	92.7510917030568	day	NA	463.157894736842	422.818791946309	40.3391027905333	NA	ug/mL	mg/day
Fukudo2014	NA	RCC_200	16.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	RCC_200	121.834061135371	day	NA	517.894736842105	374.496644295302	143.398092546803	NA	ug/mL	mg/day
Fukudo2014	NA	RCC_200	16.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	RCC_200	181.572052401747	day	NA	437.894736842105	297.986577181208	139.908159660897	NA	ug/mL	mg/day
Fukudo2014	NA	RCC_200	16.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	RCC_200	241.310043668122	day	NA	496.842105263158	366.442953020134	130.399152243024	NA	ug/mL	mg/day
Fukudo2014	NA	RCC_200	16.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	RCC_200	301.834061135371	day	NA	593.684210526316	314.093959731544	279.590250794772	NA	ug/mL	mg/day
Fukudo2014	NA	RCC_200	16.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	RCC_200	360.780911062907	day	NA	597.879858657244	305.3	292.579858657244	NA	ug/mL	NA
Fukudo2014	NA	RCC_400	16.0	SOF400	concentration	sorafenib	plasma	LC MS/MS	RCC_400	7.07423580786026	day	NA	795.789473684211	930.201342281879	134.411868597668	NA	ug/mL	800mg/day
Fukudo2014	NA	RCC_400	16.0	SOF400	concentration	sorafenib	plasma	LC MS/MS	RCC_400	16.5065502183406	day	NA	800.0	1002.68456375839	202.68456375839	NA	ug/mL	mg/day
Fukudo2014	NA	RCC_400	16.0	SOF400	concentration	sorafenib	plasma	LC MS/MS	RCC_400	20.4366812227074	day	NA	652.631578947368	865.771812080537	213.140233133169	NA	ug/mL	mg/day
Fukudo2014	NA	RCC_400	16.0	SOF400	concentration	sorafenib	plasma	LC MS/MS	RCC_400	31.4410480349345	day	NA	665.263157894737	877.852348993289	212.589191098552	NA	ug/mL	mg/day
Fukudo2014	NA	RCC_400	16.0	SOF400	concentration	sorafenib	plasma	LC MS/MS	RCC_400	60.5240174672489	day	NA	551.578947368421	740.939597315436	189.360649947015	NA	ug/mL	mg/day
Fukudo2014	NA	RCC_400	16.0	SOF400	concentration	sorafenib	plasma	LC MS/MS	RCC_400	91.9650655021834	day	NA	496.842105263158	700.671140939597	203.829035676439	NA	ug/mL	mg/day
Fukudo2014	NA	RCC_400	16.0	SOF400	concentration	sorafenib	plasma	LC MS/MS	RCC_400	121.048034934498	day	NA	475.789473684211	700.671140939597	224.881667255386	NA	ug/mL	mg/day
Fukudo2014	NA	RCC_400	16.0	SOF400	concentration	sorafenib	plasma	LC MS/MS	RCC_400	181.572052401747	day	NA	690.526315789474	906.040268456376	215.513952666902	NA	ug/mL	mg/day
Fukudo2014	NA	RCC_400	16.0	SOF400	concentration	sorafenib	plasma	LC MS/MS	RCC_400	243.668122270742	day	NA	589.473684210526	805.369127516779	215.895443306253	NA	ug/mL	mg/day
Fukudo2014	NA	RCC_400	16.0	SOF400	concentration	sorafenib	plasma	LC MS/MS	RCC_400	303.406113537118	day	NA	686.315789473684	873.825503355705	187.509713882021	NA	ug/mL	mg/day
Fukudo2014	NA	RCC_400	16.0	SOF400	concentration	sorafenib	plasma	LC MS/MS	RCC_400	363.930131004367	day	NA	484.210526315789	608.053691275168	123.843164959379	NA	ug/mL	mg/day
Fukudo2014	NA	HCC_200	36.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	HCC_200	6.34361233480176	day	NA	420.833333333333	325.0	95.8333333333334	NA	ug/mL	400mg/day
Fukudo2014	NA	HCC_200	36.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	HCC_200	15.0660792951542	day	NA	416.666666666667	316.666666666667	100.0	NA	ug/mL	mg/day
Fukudo2014	NA	HCC_200	36.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	HCC_200	21.4096916299559	day	NA	441.666666666667	312.5	129.166666666667	NA	ug/mL	mg/day
Fukudo2014	NA	HCC_200	36.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	HCC_200	30.1321585903084	day	NA	437.5	300.0	137.5	NA	ug/mL	mg/day
Fukudo2014	NA	HCC_200	36.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	HCC_200	59.4713656387665	day	NA	395.833333333333	258.333333333333	137.5	NA	ug/mL	mg/day
Fukudo2014	NA	HCC_200	36.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	HCC_200	88.8105726872247	day	NA	395.833333333333	262.5	133.333333333333	NA	ug/mL	mg/day
Fukudo2014	NA	HCC_200	36.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	HCC_200	121.321585903084	day	NA	391.666666666667	300.0	91.6666666666667	NA	ug/mL	mg/day
Fukudo2014	NA	HCC_200	36.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	HCC_200	180.0	day	NA	366.666666666667	291.666666666667	75.0	NA	ug/mL	mg/day
