study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Huh2021	NA	SYO100_P1	7.0	SYO100	concentration	sorafenib	plasma	LC MS/MS	SYO100_P1	2.487788	hour	NA	410.67548	NA	NA	NA	ug/L	NA
Huh2021	NA	SYO100_P1	7.0	SYO100	concentration	sorafenib	plasma	LC MS/MS	SYO100_P1	2.9399366	hour	NA	1107.6613	NA	NA	NA	ug/L	NA
Huh2021	NA	SYO100_P1	7.0	SYO100	concentration	sorafenib	plasma	LC MS/MS	SYO100_P1	3.6513045	hour	NA	2023.6078	NA	NA	NA	ug/L	NA
Huh2021	NA	SYO100_P1	7.0	SYO100	concentration	sorafenib	plasma	LC MS/MS	SYO100_P1	4.650734	hour	NA	2553.818	NA	NA	NA	ug/L	NA
Huh2021	NA	SYO100_P1	7.0	SYO100	concentration	sorafenib	plasma	LC MS/MS	SYO100_P1	5.6547685	hour	NA	2987.4802	NA	NA	NA	ug/L	NA
Huh2021	NA	SYO100_P1	7.0	SYO100	concentration	sorafenib	plasma	LC MS/MS	SYO100_P1	7.5767946	hour	NA	1135.8435	NA	NA	NA	ug/L	NA
Huh2021	NA	SYO100_P1	7.0	SYO100	concentration	sorafenib	plasma	LC MS/MS	SYO100_P1	9.305891	hour	NA	1067.626	NA	NA	NA	ug/L	NA
Huh2021	NA	SYO100_P1	7.0	SYO100	concentration	sorafenib	plasma	LC MS/MS	SYO100_P1	11.158477	hour	NA	1802.5574	NA	NA	NA	ug/L	NA
Huh2021	NA	SYO100_P1	7.0	SYO100	concentration	sorafenib	plasma	LC MS/MS	SYO100_P1	13.003853	hour	NA	992.5799	NA	NA	NA	ug/L	NA
Huh2021	NA	SYO100_P1	7.0	SYO100	concentration	sorafenib	plasma	LC MS/MS	SYO100_P1	23.770836	hour	NA	1402.1249	NA	NA	NA	ug/L	NA
Huh2021	NA	SYO100_P1	7.0	SYO100	concentration	sorafenib	plasma	LC MS/MS	SYO100_P1	37.52425	hour	NA	430.62964	NA	NA	NA	ug/L	NA
Huh2021	NA	SYO100_P1	7.0	SYO100	concentration	sorafenib	plasma	LC MS/MS	SYO100_P1	49.520996	hour	NA	423.11182	NA	NA	NA	ug/L	NA
Huh2021	NA	SYO100_P1	7.0	SYO100	concentration	sorafenib	plasma	LC MS/MS	SYO100_P1	72.285965	hour	NA	186.59953	NA	NA	NA	ug/L	NA
Huh2021	NA	SYO100_P1	7.0	SYO100	concentration	sorafenib	plasma	LC MS/MS	SYO100_P1	97.08116	hour	NA	90.36343	NA	NA	NA	ug/L	NA
Huh2021	NA	SYO100_P1	7.0	SYO100	concentration	sorafenib	plasma	LC MS/MS	SYO100_P1	120.76735	hour	NA	21.087791	NA	NA	NA	ug/L	NA
Huh2021	NA	SYO100_P1	7.0	SYO100	concentration	sorafenib	plasma	LC MS/MS	SYO100_P1	168.43657	hour	NA	4.5266466	NA	NA	NA	ug/L	NA
Huh2021	NA	SOF200_P1	8.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF200_P1	2.5482602	hour	NA	273.56668	NA	NA	NA	ug/L	NA
Huh2021	NA	SOF200_P1	8.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF200_P1	2.950601	hour	NA	884.07587	NA	NA	NA	ug/L	NA
Huh2021	NA	SOF200_P1	8.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF200_P1	3.8704107	hour	NA	1952.8324	NA	NA	NA	ug/L	NA
Huh2021	NA	SOF200_P1	8.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF200_P1	4.726779	hour	NA	2655.585	NA	NA	NA	ug/L	NA
Huh2021	NA	SOF200_P1	8.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF200_P1	5.497589	hour	NA	2890.6577	NA	NA	NA	ug/L	NA
Huh2021	NA	SOF200_P1	8.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF200_P1	7.435188	hour	NA	1277.8969	NA	NA	NA	ug/L	NA
Huh2021	NA	SOF200_P1	8.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF200_P1	9.356668	hour	NA	1133.7767	NA	NA	NA	ug/L	NA
Huh2021	NA	SOF200_P1	8.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF200_P1	11.070556	hour	NA	1949.7834	NA	NA	NA	ug/L	NA
Huh2021	NA	SOF200_P1	8.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF200_P1	13.078686	hour	NA	1119.754	NA	NA	NA	ug/L	NA
Huh2021	NA	SOF200_P1	8.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF200_P1	23.949404	hour	NA	1615.8671	NA	NA	NA	ug/L	NA
Huh2021	NA	SOF200_P1	8.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF200_P1	36.881767	hour	NA	502.81668	NA	NA	NA	ug/L	NA
Huh2021	NA	SOF200_P1	8.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF200_P1	49.171185	hour	NA	644.38904	NA	NA	NA	ug/L	NA
Huh2021	NA	SOF200_P1	8.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF200_P1	72.263664	hour	NA	331.13315	NA	NA	NA	ug/L	NA
Huh2021	NA	SOF200_P1	8.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF200_P1	96.59582	hour	NA	167.0871	NA	NA	NA	ug/L	NA
Huh2021	NA	SOF200_P1	8.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF200_P1	120.12695	hour	NA	79.724815	NA	NA	NA	ug/L	NA
Huh2021	NA	SOF200_P1	8.0	SOF200	concentration	sorafenib	plasma	LC MS/MS	SOF200_P1	168.431	hour	NA	40.660053	NA	NA	NA	ug/L	NA
Huh2021	NA	SYO150_P1	7.0	SYO150	concentration	sorafenib	plasma	LC MS/MS	SYO150_P1	2.08	hour	NA	169.10045	NA	NA	NA	ug/L	NA
Huh2021	NA	SYO150_P1	7.0	SYO150	concentration	sorafenib	plasma	LC MS/MS	SYO150_P1	2.6528082	hour	NA	682.3283	NA	NA	NA	ug/L	NA
Huh2021	NA	SYO150_P1	7.0	SYO150	concentration	sorafenib	plasma	LC MS/MS	SYO150_P1	2.7644215	hour	NA	1734.4701	NA	NA	NA	ug/L	NA
